"year","admission_category","statistics","value"
2014,"Provincial/territorial nominee, principal applicant","Total with income",17685
2015,"Provincial/territorial nominee, principal applicant","Total with income",18005
2016,"Provincial/territorial nominee, principal applicant","Total with income",16615
2001,"Provincial/territorial nominee, principal applicant","Mean with income",23400
2002,"Provincial/territorial nominee, principal applicant","Mean with income",36200
2003,"Provincial/territorial nominee, principal applicant","Mean with income",34400
2004,"Provincial/territorial nominee, principal applicant","Mean with income",56600
2005,"Provincial/territorial nominee, principal applicant","Mean with income",50600
2006,"Provincial/territorial nominee, principal applicant","Mean with income",52500
2007,"Provincial/territorial nominee, principal applicant","Mean with income",45500
2008,"Provincial/territorial nominee, principal applicant","Mean with income",50600
2009,"Provincial/territorial nominee, principal applicant","Mean with income",48100
2010,"Provincial/territorial nominee, principal applicant","Mean with income",43400
2011,"Provincial/territorial nominee, principal applicant","Mean with income",41200
2012,"Provincial/territorial nominee, principal applicant","Mean with income",42800
2013,"Provincial/territorial nominee, principal applicant","Mean with income",46800
2014,"Provincial/territorial nominee, principal applicant","Mean with income",45800
2015,"Provincial/territorial nominee, principal applicant","Mean with income",45700
2016,"Provincial/territorial nominee, principal applicant","Mean with income",42000
2001,"Provincial/territorial nominee, principal applicant","Median with income",16000
2002,"Provincial/territorial nominee, principal applicant","Median with income",14500
2003,"Provincial/territorial nominee, principal applicant","Median with income",12400
2004,"Provincial/territorial nominee, principal applicant","Median with income",15500
2005,"Provincial/territorial nominee, principal applicant","Median with income",17100
2006,"Provincial/territorial nominee, principal applicant","Median with income",21100
2007,"Provincial/territorial nominee, principal applicant","Median with income",24500
2008,"Provincial/territorial nominee, principal applicant","Median with income",31800
2009,"Provincial/territorial nominee, principal applicant","Median with income",34300
2010,"Provincial/territorial nominee, principal applicant","Median with income",31900
2011,"Provincial/territorial nominee, principal applicant","Median with income",29300
2012,"Provincial/territorial nominee, principal applicant","Median with income",31900
2013,"Provincial/territorial nominee, principal applicant","Median with income",34300
2014,"Provincial/territorial nominee, principal applicant","Median with income",33800
2015,"Provincial/territorial nominee, principal applicant","Median with income",35200
2016,"Provincial/territorial nominee, principal applicant","Median with income",33000
2001,"Business programs, principal applicant","Total count",3120
2002,"Business programs, principal applicant","Total count",2285
2003,"Business programs, principal applicant","Total count",1550
2004,"Business programs, principal applicant","Total count",1870
2005,"Business programs, principal applicant","Total count",2500
2006,"Business programs, principal applicant","Total count",2340
2007,"Business programs, principal applicant","Total count",1875
2008,"Business programs, principal applicant","Total count",2285
2009,"Business programs, principal applicant","Total count",2180
2010,"Business programs, principal applicant","Total count",2280
2011,"Business programs, principal applicant","Total count",1980
2012,"Business programs, principal applicant","Total count",1710
2013,"Business programs, principal applicant","Total count",1470
2014,"Business programs, principal applicant","Total count",1305
2015,"Business programs, principal applicant","Total count",1130
2016,"Business programs, principal applicant","Total count",895
2001,"Business programs, principal applicant","Total with income",2055
2002,"Business programs, principal applicant","Total with income",1510
2003,"Business programs, principal applicant","Total with income",980
2004,"Business programs, principal applicant","Total with income",1145
2005,"Business programs, principal applicant","Total with income",1700
2006,"Business programs, principal applicant","Total with income",1600
2007,"Business programs, principal applicant","Total with income",1230
2008,"Business programs, principal applicant","Total with income",1505
2009,"Business programs, principal applicant","Total with income",1390
2010,"Business programs, principal applicant","Total with income",1445
2011,"Business programs, principal applicant","Total with income",1290
2012,"Business programs, principal applicant","Total with income",1175
2013,"Business programs, principal applicant","Total with income",1030
2014,"Business programs, principal applicant","Total with income",835
2015,"Business programs, principal applicant","Total with income",645
2016,"Business programs, principal applicant","Total with income",520
2001,"Business programs, principal applicant","Mean with income",10000
2002,"Business programs, principal applicant","Mean with income",8700
2003,"Business programs, principal applicant","Mean with income",10000
2004,"Business programs, principal applicant","Mean with income",10000
2005,"Business programs, principal applicant","Mean with income",10200
2006,"Business programs, principal applicant","Mean with income",11700
2007,"Business programs, principal applicant","Mean with income",12600
2008,"Business programs, principal applicant","Mean with income",11500
2009,"Business programs, principal applicant","Mean with income",15400
2010,"Business programs, principal applicant","Mean with income",14800
2011,"Business programs, principal applicant","Mean with income",11800
2012,"Business programs, principal applicant","Mean with income",17500
2013,"Business programs, principal applicant","Mean with income",17500
2014,"Business programs, principal applicant","Mean with income",20300
2015,"Business programs, principal applicant","Mean with income",24300
2016,"Business programs, principal applicant","Mean with income",19400
2001,"Business programs, principal applicant","Median with income",3900
2002,"Business programs, principal applicant","Median with income",3800
2003,"Business programs, principal applicant","Median with income",3600
2004,"Business programs, principal applicant","Median with income",3900
2005,"Business programs, principal applicant","Median with income",4800
2006,"Business programs, principal applicant","Median with income",5000
2007,"Business programs, principal applicant","Median with income",5000
2008,"Business programs, principal applicant","Median with income",4800
2009,"Business programs, principal applicant","Median with income",6900
2010,"Business programs, principal applicant","Median with income",6500
2011,"Business programs, principal applicant","Median with income",5800
2012,"Business programs, principal applicant","Median with income",7600
2013,"Business programs, principal applicant","Median with income",7300
2014,"Business programs, principal applicant","Median with income",8700
2015,"Business programs, principal applicant","Median with income",9500
2016,"Business programs, principal applicant","Median with income",9200
2001,"Caregiver, principal applicant","Total count",1845
2002,"Caregiver, principal applicant","Total count",1500
2003,"Caregiver, principal applicant","Total count",2190
2004,"Caregiver, principal applicant","Total count",2450
2005,"Caregiver, principal applicant","Total count",3025
2006,"Caregiver, principal applicant","Total count",3495
2007,"Caregiver, principal applicant","Total count",3375
2008,"Caregiver, principal applicant","Total count",6075
2009,"Caregiver, principal applicant","Total count",6180
2010,"Caregiver, principal applicant","Total count",7550
2011,"Caregiver, principal applicant","Total count",4920
2012,"Caregiver, principal applicant","Total count",3640
2013,"Caregiver, principal applicant","Total count",4780
2014,"Caregiver, principal applicant","Total count",11495
2015,"Caregiver, principal applicant","Total count",11020
2016,"Caregiver, principal applicant","Total count",6770
2001,"Caregiver, principal applicant","Total with income",1835
2002,"Caregiver, principal applicant","Total with income",1495
2003,"Caregiver, principal applicant","Total with income",2180
2004,"Caregiver, principal applicant","Total with income",2435
2005,"Caregiver, principal applicant","Total with income",3000
2006,"Caregiver, principal applicant","Total with income",3460
2007,"Caregiver, principal applicant","Total with income",3355
2008,"Caregiver, principal applicant","Total with income",6020
2009,"Caregiver, principal applicant","Total with income",6125
2010,"Caregiver, principal applicant","Total with income",7475
2011,"Caregiver, principal applicant","Total with income",4820
2012,"Caregiver, principal applicant","Total with income",3590
2013,"Caregiver, principal applicant","Total with income",4700
2014,"Caregiver, principal applicant","Total with income",11365
2015,"Caregiver, principal applicant","Total with income",10925
2016,"Caregiver, principal applicant","Total with income",6695
2001,"Caregiver, principal applicant","Mean with income",22400
2002,"Caregiver, principal applicant","Mean with income",22400
2003,"Caregiver, principal applicant","Mean with income",23800
2004,"Caregiver, principal applicant","Mean with income",21800
2005,"Caregiver, principal applicant","Mean with income",22300
2006,"Caregiver, principal applicant","Mean with income",23700
2007,"Caregiver, principal applicant","Mean with income",23600
2008,"Caregiver, principal applicant","Mean with income",24300
2009,"Caregiver, principal applicant","Mean with income",23800
2010,"Caregiver, principal applicant","Mean with income",23300
2011,"Caregiver, principal applicant","Mean with income",21900
2012,"Caregiver, principal applicant","Mean with income",27700
2013,"Caregiver, principal applicant","Mean with income",26400
2014,"Caregiver, principal applicant","Mean with income",26900
2015,"Caregiver, principal applicant","Mean with income",28900
2016,"Caregiver, principal applicant","Mean with income",28300
2001,"Caregiver, principal applicant","Median with income",21100
2002,"Caregiver, principal applicant","Median with income",20800
2003,"Caregiver, principal applicant","Median with income",21500
2004,"Caregiver, principal applicant","Median with income",20100
2005,"Caregiver, principal applicant","Median with income",20400
2006,"Caregiver, principal applicant","Median with income",21500
2007,"Caregiver, principal applicant","Median with income",21600
2008,"Caregiver, principal applicant","Median with income",22100
2009,"Caregiver, principal applicant","Median with income",21500
2010,"Caregiver, principal applicant","Median with income",21800
2011,"Caregiver, principal applicant","Median with income",20700
2012,"Caregiver, principal applicant","Median with income",25300
2013,"Caregiver, principal applicant","Median with income",24600
2014,"Caregiver, principal applicant","Median with income",24700
2015,"Caregiver, principal applicant","Median with income",26300
2016,"Caregiver, principal applicant","Median with income",26000
2001,"Economic Immigrant, spouse and dependent","Total count",37670
2002,"Economic Immigrant, spouse and dependent","Total count",32390
2003,"Economic Immigrant, spouse and dependent","Total count",27790
2004,"Economic Immigrant, spouse and dependent","Total count",31160
2005,"Economic Immigrant, spouse and dependent","Total count",36655
2006,"Economic Immigrant, spouse and dependent","Total count",33000
2007,"Economic Immigrant, spouse and dependent","Total count",30775
2008,"Economic Immigrant, spouse and dependent","Total count",34760
2009,"Economic Immigrant, spouse and dependent","Total count",35765
2010,"Economic Immigrant, spouse and dependent","Total count",43390
2011,"Economic Immigrant, spouse and dependent","Total count",36410
2012,"Economic Immigrant, spouse and dependent","Total count",38070
2013,"Economic Immigrant, spouse and dependent","Total count",34600
2014,"Economic Immigrant, spouse and dependent","Total count",38910
2015,"Economic Immigrant, spouse and dependent","Total count",42700
2016,"Economic Immigrant, spouse and dependent","Total count",38035
2001,"Economic Immigrant, spouse and dependent","Total with income",18790
2002,"Economic Immigrant, spouse and dependent","Total with income",16370
2003,"Economic Immigrant, spouse and dependent","Total with income",13250
2004,"Economic Immigrant, spouse and dependent","Total with income",16040
2005,"Economic Immigrant, spouse and dependent","Total with income",20370
2006,"Economic Immigrant, spouse and dependent","Total with income",19250
2007,"Economic Immigrant, spouse and dependent","Total with income",18295
2008,"Economic Immigrant, spouse and dependent","Total with income",20660
2009,"Economic Immigrant, spouse and dependent","Total with income",19640
2010,"Economic Immigrant, spouse and dependent","Total with income",23635
2011,"Economic Immigrant, spouse and dependent","Total with income",20680
2012,"Economic Immigrant, spouse and dependent","Total with income",22150
2013,"Economic Immigrant, spouse and dependent","Total with income",20540
2014,"Economic Immigrant, spouse and dependent","Total with income",24075
2015,"Economic Immigrant, spouse and dependent","Total with income",28050
2016,"Economic Immigrant, spouse and dependent","Total with income",26210
2001,"Economic Immigrant, spouse and dependent","Mean with income",7600
2002,"Economic Immigrant, spouse and dependent","Mean with income",8000
2003,"Economic Immigrant, spouse and dependent","Mean with income",7700
2004,"Economic Immigrant, spouse and dependent","Mean with income",9300
2005,"Economic Immigrant, spouse and dependent","Mean with income",8900
2006,"Economic Immigrant, spouse and dependent","Mean with income",11100
2007,"Economic Immigrant, spouse and dependent","Mean with income",12000
2008,"Economic Immigrant, spouse and dependent","Mean with income",12200
2009,"Economic Immigrant, spouse and dependent","Mean with income",13100
2010,"Economic Immigrant, spouse and dependent","Mean with income",12400
2011,"Economic Immigrant, spouse and dependent","Mean with income",12800
2012,"Economic Immigrant, spouse and dependent","Mean with income",14400
2013,"Economic Immigrant, spouse and dependent","Mean with income",16300
2014,"Economic Immigrant, spouse and dependent","Mean with income",17900
2015,"Economic Immigrant, spouse and dependent","Mean with income",17100
2016,"Economic Immigrant, spouse and dependent","Mean with income",18200
2001,"Economic Immigrant, spouse and dependent","Median with income",4200
2002,"Economic Immigrant, spouse and dependent","Median with income",4800
2003,"Economic Immigrant, spouse and dependent","Median with income",4300
2004,"Economic Immigrant, spouse and dependent","Median with income",4800
2005,"Economic Immigrant, spouse and dependent","Median with income",5000
2006,"Economic Immigrant, spouse and dependent","Median with income",5800
2007,"Economic Immigrant, spouse and dependent","Median with income",6000
2008,"Economic Immigrant, spouse and dependent","Median with income",6200
2009,"Economic Immigrant, spouse and dependent","Median with income",6700
2010,"Economic Immigrant, spouse and dependent","Median with income",6800
2011,"Economic Immigrant, spouse and dependent","Median with income",7300
2012,"Economic Immigrant, spouse and dependent","Median with income",7900
2013,"Economic Immigrant, spouse and dependent","Median with income",9000
2014,"Economic Immigrant, spouse and dependent","Median with income",10000
2015,"Economic Immigrant, spouse and dependent","Median with income",10200
2016,"Economic Immigrant, spouse and dependent","Median with income",11300
2001,"Skilled worker and skilled trades, spouse and dependent","Total count",32875
2002,"Skilled worker and skilled trades, spouse and dependent","Total count",28435
2003,"Skilled worker and skilled trades, spouse and dependent","Total count",23890
2004,"Skilled worker and skilled trades, spouse and dependent","Total count",25820
2005,"Skilled worker and skilled trades, spouse and dependent","Total count",29850
2006,"Skilled worker and skilled trades, spouse and dependent","Total count",24015
2007,"Skilled worker and skilled trades, spouse and dependent","Total count",21670
2008,"Skilled worker and skilled trades, spouse and dependent","Total count",22630
2009,"Skilled worker and skilled trades, spouse and dependent","Total count",20495
2010,"Skilled worker and skilled trades, spouse and dependent","Total count",25825
2011,"Skilled worker and skilled trades, spouse and dependent","Total count",18795
2012,"Skilled worker and skilled trades, spouse and dependent","Total count",19805
2013,"Skilled worker and skilled trades, spouse and dependent","Total count",18280
2014,"Skilled worker and skilled trades, spouse and dependent","Total count",15125
2015,"Skilled worker and skilled trades, spouse and dependent","Total count",15685
2016,"Skilled worker and skilled trades, spouse and dependent","Total count",14145
2001,"Skilled worker and skilled trades, spouse and dependent","Total with income",16370
2002,"Skilled worker and skilled trades, spouse and dependent","Total with income",14375
2003,"Skilled worker and skilled trades, spouse and dependent","Total with income",11270
2004,"Skilled worker and skilled trades, spouse and dependent","Total with income",13095
2005,"Skilled worker and skilled trades, spouse and dependent","Total with income",16565
2006,"Skilled worker and skilled trades, spouse and dependent","Total with income",13615
2007,"Skilled worker and skilled trades, spouse and dependent","Total with income",12325
2008,"Skilled worker and skilled trades, spouse and dependent","Total with income",12730
2009,"Skilled worker and skilled trades, spouse and dependent","Total with income",9755
2010,"Skilled worker and skilled trades, spouse and dependent","Total with income",12650
2011,"Skilled worker and skilled trades, spouse and dependent","Total with income",9430
2012,"Skilled worker and skilled trades, spouse and dependent","Total with income",9995
2013,"Skilled worker and skilled trades, spouse and dependent","Total with income",9370
2014,"Skilled worker and skilled trades, spouse and dependent","Total with income",7705
2015,"Skilled worker and skilled trades, spouse and dependent","Total with income",8160
2016,"Skilled worker and skilled trades, spouse and dependent","Total with income",8405
2001,"Skilled worker and skilled trades, spouse and dependent","Mean with income",7900
2002,"Skilled worker and skilled trades, spouse and dependent","Mean with income",8200
2003,"Skilled worker and skilled trades, spouse and dependent","Mean with income",7900
2004,"Skilled worker and skilled trades, spouse and dependent","Mean with income",9300
2005,"Skilled worker and skilled trades, spouse and dependent","Mean with income",8800
2006,"Skilled worker and skilled trades, spouse and dependent","Mean with income",11000
2007,"Skilled worker and skilled trades, spouse and dependent","Mean with income",11800
2008,"Skilled worker and skilled trades, spouse and dependent","Mean with income",12300
2009,"Skilled worker and skilled trades, spouse and dependent","Mean with income",12700
2010,"Skilled worker and skilled trades, spouse and dependent","Mean with income",11800
2011,"Skilled worker and skilled trades, spouse and dependent","Mean with income",11500
2012,"Skilled worker and skilled trades, spouse and dependent","Mean with income",13100
2013,"Skilled worker and skilled trades, spouse and dependent","Mean with income",14000
2014,"Skilled worker and skilled trades, spouse and dependent","Mean with income",15200
2015,"Skilled worker and skilled trades, spouse and dependent","Mean with income",15300
2016,"Skilled worker and skilled trades, spouse and dependent","Mean with income",20500
2001,"Skilled worker and skilled trades, spouse and dependent","Median with income",4300
2002,"Skilled worker and skilled trades, spouse and dependent","Median with income",5100
2003,"Skilled worker and skilled trades, spouse and dependent","Median with income",4400
2004,"Skilled worker and skilled trades, spouse and dependent","Median with income",4800
2005,"Skilled worker and skilled trades, spouse and dependent","Median with income",5200
2006,"Skilled worker and skilled trades, spouse and dependent","Median with income",5700
2007,"Skilled worker and skilled trades, spouse and dependent","Median with income",6000
2008,"Skilled worker and skilled trades, spouse and dependent","Median with income",6300
2009,"Skilled worker and skilled trades, spouse and dependent","Median with income",6000
2010,"Skilled worker and skilled trades, spouse and dependent","Median with income",6500
2011,"Skilled worker and skilled trades, spouse and dependent","Median with income",6500
2012,"Skilled worker and skilled trades, spouse and dependent","Median with income",6900
2013,"Skilled worker and skilled trades, spouse and dependent","Median with income",7700
2014,"Skilled worker and skilled trades, spouse and dependent","Median with income",8100
2015,"Skilled worker and skilled trades, spouse and dependent","Median with income",7800
2016,"Skilled worker and skilled trades, spouse and dependent","Median with income",11700
2001,"Canadian experience class, spouse and dependent","Total count",NA
2002,"Canadian experience class, spouse and dependent","Total count",NA
2003,"Canadian experience class, spouse and dependent","Total count",NA
2004,"Canadian experience class, spouse and dependent","Total count",NA
2005,"Canadian experience class, spouse and dependent","Total count",NA
2006,"Canadian experience class, spouse and dependent","Total count",NA
2007,"Canadian experience class, spouse and dependent","Total count",NA
2008,"Canadian experience class, spouse and dependent","Total count",NA
2009,"Canadian experience class, spouse and dependent","Total count",450
2010,"Canadian experience class, spouse and dependent","Total count",805
2011,"Canadian experience class, spouse and dependent","Total count",1240
2012,"Canadian experience class, spouse and dependent","Total count",1990
2013,"Canadian experience class, spouse and dependent","Total count",1680
2014,"Canadian experience class, spouse and dependent","Total count",5715
2015,"Canadian experience class, spouse and dependent","Total count",4965
2016,"Canadian experience class, spouse and dependent","Total count",4235
2001,"Canadian experience class, spouse and dependent","Total with income",NA
2002,"Canadian experience class, spouse and dependent","Total with income",NA
2003,"Canadian experience class, spouse and dependent","Total with income",NA
2004,"Canadian experience class, spouse and dependent","Total with income",NA
2005,"Canadian experience class, spouse and dependent","Total with income",NA
2006,"Canadian experience class, spouse and dependent","Total with income",NA
2007,"Canadian experience class, spouse and dependent","Total with income",NA
2008,"Canadian experience class, spouse and dependent","Total with income",NA
2009,"Canadian experience class, spouse and dependent","Total with income",320
2010,"Canadian experience class, spouse and dependent","Total with income",550
2011,"Canadian experience class, spouse and dependent","Total with income",840
2012,"Canadian experience class, spouse and dependent","Total with income",1405
2013,"Canadian experience class, spouse and dependent","Total with income",1190
2014,"Canadian experience class, spouse and dependent","Total with income",4125
2015,"Canadian experience class, spouse and dependent","Total with income",3520
2016,"Canadian experience class, spouse and dependent","Total with income",3180
2001,"Canadian experience class, spouse and dependent","Mean with income",NA
2002,"Canadian experience class, spouse and dependent","Mean with income",NA
2003,"Canadian experience class, spouse and dependent","Mean with income",NA
2004,"Canadian experience class, spouse and dependent","Mean with income",NA
2005,"Canadian experience class, spouse and dependent","Mean with income",NA
2006,"Canadian experience class, spouse and dependent","Mean with income",NA
2007,"Canadian experience class, spouse and dependent","Mean with income",NA
2008,"Canadian experience class, spouse and dependent","Mean with income",NA
2009,"Canadian experience class, spouse and dependent","Mean with income",25200
2010,"Canadian experience class, spouse and dependent","Mean with income",30000
2011,"Canadian experience class, spouse and dependent","Mean with income",27100
2012,"Canadian experience class, spouse and dependent","Mean with income",28000
2013,"Canadian experience class, spouse and dependent","Mean with income",30300
2014,"Canadian experience class, spouse and dependent","Mean with income",29600
2015,"Canadian experience class, spouse and dependent","Mean with income",29400
2016,"Canadian experience class, spouse and dependent","Mean with income",27800
2001,"Canadian experience class, spouse and dependent","Median with income",NA
2002,"Canadian experience class, spouse and dependent","Median with income",NA
2003,"Canadian experience class, spouse and dependent","Median with income",NA
2004,"Canadian experience class, spouse and dependent","Median with income",NA
2005,"Canadian experience class, spouse and dependent","Median with income",NA
2006,"Canadian experience class, spouse and dependent","Median with income",NA
2007,"Canadian experience class, spouse and dependent","Median with income",NA
2008,"Canadian experience class, spouse and dependent","Median with income",NA
2009,"Canadian experience class, spouse and dependent","Median with income",17100
2010,"Canadian experience class, spouse and dependent","Median with income",18500
2011,"Canadian experience class, spouse and dependent","Median with income",18100
2012,"Canadian experience class, spouse and dependent","Median with income",19200
2013,"Canadian experience class, spouse and dependent","Median with income",21700
2014,"Canadian experience class, spouse and dependent","Median with income",22200
2015,"Canadian experience class, spouse and dependent","Median with income",21400
2016,"Canadian experience class, spouse and dependent","Median with income",19800
2001,"Provincial/territorial nominee, spouse and dependent","Total count",315
2002,"Provincial/territorial nominee, spouse and dependent","Total count",545
2003,"Provincial/territorial nominee, spouse and dependent","Total count",1145
2004,"Provincial/territorial nominee, spouse and dependent","Total count",1625
2005,"Provincial/territorial nominee, spouse and dependent","Total count",2095
2006,"Provincial/territorial nominee, spouse and dependent","Total count",3610
2007,"Provincial/territorial nominee, spouse and dependent","Total count",4630
2008,"Provincial/territorial nominee, spouse and dependent","Total count",6225
2009,"Provincial/territorial nominee, spouse and dependent","Total count",8215
2010,"Provincial/territorial nominee, spouse and dependent","Total count",10030
2011,"Provincial/territorial nominee, spouse and dependent","Total count",10000
2012,"Provincial/territorial nominee, spouse and dependent","Total count",10665
2013,"Provincial/territorial nominee, spouse and dependent","Total count",10070
2014,"Provincial/territorial nominee, spouse and dependent","Total count",12605
2015,"Provincial/territorial nominee, spouse and dependent","Total count",11605
2016,"Provincial/territorial nominee, spouse and dependent","Total count",11575
2001,"Provincial/territorial nominee, spouse and dependent","Total with income",180
2002,"Provincial/territorial nominee, spouse and dependent","Total with income",315
2003,"Provincial/territorial nominee, spouse and dependent","Total with income",665
2004,"Provincial/territorial nominee, spouse and dependent","Total with income",945
2005,"Provincial/territorial nominee, spouse and dependent","Total with income",1285
2006,"Provincial/territorial nominee, spouse and dependent","Total with income",2335
2007,"Provincial/territorial nominee, spouse and dependent","Total with income",3230
2008,"Provincial/territorial nominee, spouse and dependent","Total with income",4230
2009,"Provincial/territorial nominee, spouse and dependent","Total with income",5380
2010,"Provincial/territorial nominee, spouse and dependent","Total with income",6435
2011,"Provincial/territorial nominee, spouse and dependent","Total with income",6260
2012,"Provincial/territorial nominee, spouse and dependent","Total with income",7110
2013,"Provincial/territorial nominee, spouse and dependent","Total with income",6965
2014,"Provincial/territorial nominee, spouse and dependent","Total with income",8755
2015,"Provincial/territorial nominee, spouse and dependent","Total with income",8125
2016,"Provincial/territorial nominee, spouse and dependent","Total with income",8065
2001,"Provincial/territorial nominee, spouse and dependent","Mean with income",6500
2002,"Provincial/territorial nominee, spouse and dependent","Mean with income",8600
2003,"Provincial/territorial nominee, spouse and dependent","Mean with income",8400
2004,"Provincial/territorial nominee, spouse and dependent","Mean with income",13800
2005,"Provincial/territorial nominee, spouse and dependent","Mean with income",14200
2006,"Provincial/territorial nominee, spouse and dependent","Mean with income",15400
2007,"Provincial/territorial nominee, spouse and dependent","Mean with income",14800
2008,"Provincial/territorial nominee, spouse and dependent","Mean with income",15800
2009,"Provincial/territorial nominee, spouse and dependent","Mean with income",16500
2010,"Provincial/territorial nominee, spouse and dependent","Mean with income",14400
2011,"Provincial/territorial nominee, spouse and dependent","Mean with income",14800
2012,"Provincial/territorial nominee, spouse and dependent","Mean with income",16200
2013,"Provincial/territorial nominee, spouse and dependent","Mean with income",19400
2014,"Provincial/territorial nominee, spouse and dependent","Mean with income",17700
2015,"Provincial/territorial nominee, spouse and dependent","Mean with income",19300
2016,"Provincial/territorial nominee, spouse and dependent","Mean with income",17500
2001,"Provincial/territorial nominee, spouse and dependent","Median with income",4800
2002,"Provincial/territorial nominee, spouse and dependent","Median with income",5100
2003,"Provincial/territorial nominee, spouse and dependent","Median with income",4800
2004,"Provincial/territorial nominee, spouse and dependent","Median with income",5200
2005,"Provincial/territorial nominee, spouse and dependent","Median with income",6300
2006,"Provincial/territorial nominee, spouse and dependent","Median with income",6500
2007,"Provincial/territorial nominee, spouse and dependent","Median with income",6700
2008,"Provincial/territorial nominee, spouse and dependent","Median with income",7500
2009,"Provincial/territorial nominee, spouse and dependent","Median with income",8400
2010,"Provincial/territorial nominee, spouse and dependent","Median with income",7800
2011,"Provincial/territorial nominee, spouse and dependent","Median with income",8300
2012,"Provincial/territorial nominee, spouse and dependent","Median with income",9300
2013,"Provincial/territorial nominee, spouse and dependent","Median with income",10900
2014,"Provincial/territorial nominee, spouse and dependent","Median with income",10700
2015,"Provincial/territorial nominee, spouse and dependent","Median with income",11400
2016,"Provincial/territorial nominee, spouse and dependent","Median with income",10800
2001,"Business programs, spouse and dependent","Total count",4090
2002,"Business programs, spouse and dependent","Total count",3170
2003,"Business programs, spouse and dependent","Total count",2230
2004,"Business programs, spouse and dependent","Total count",2785
2005,"Business programs, spouse and dependent","Total count",3970
2006,"Business programs, spouse and dependent","Total count",3680
2007,"Business programs, spouse and dependent","Total count",3085
2008,"Business programs, spouse and dependent","Total count",3650
2009,"Business programs, spouse and dependent","Total count",3425
2010,"Business programs, spouse and dependent","Total count",3665
2011,"Business programs, spouse and dependent","Total count",3165
2012,"Business programs, spouse and dependent","Total count",2760
2013,"Business programs, spouse and dependent","Total count",2405
2014,"Business programs, spouse and dependent","Total count",2175
2015,"Business programs, spouse and dependent","Total count",1855
2016,"Business programs, spouse and dependent","Total count",1455
2001,"Business programs, spouse and dependent","Total with income",1890
2002,"Business programs, spouse and dependent","Total with income",1465
2003,"Business programs, spouse and dependent","Total with income",935
2004,"Business programs, spouse and dependent","Total with income",1175
2005,"Business programs, spouse and dependent","Total with income",1915
2006,"Business programs, spouse and dependent","Total with income",1840
2007,"Business programs, spouse and dependent","Total with income",1540
2008,"Business programs, spouse and dependent","Total with income",1830
2009,"Business programs, spouse and dependent","Total with income",1520
2010,"Business programs, spouse and dependent","Total with income",1585
2011,"Business programs, spouse and dependent","Total with income",1445
2012,"Business programs, spouse and dependent","Total with income",1375
2013,"Business programs, spouse and dependent","Total with income",1200
2014,"Business programs, spouse and dependent","Total with income",1070
2015,"Business programs, spouse and dependent","Total with income",795
2016,"Business programs, spouse and dependent","Total with income",650
2001,"Business programs, spouse and dependent","Mean with income",5000
2002,"Business programs, spouse and dependent","Mean with income",4900
2003,"Business programs, spouse and dependent","Mean with income",4900
2004,"Business programs, spouse and dependent","Mean with income",4700
2005,"Business programs, spouse and dependent","Mean with income",5500
2006,"Business programs, spouse and dependent","Mean with income",6600
2007,"Business programs, spouse and dependent","Mean with income",8400
2008,"Business programs, spouse and dependent","Mean with income",5400
2009,"Business programs, spouse and dependent","Mean with income",6600
2010,"Business programs, spouse and dependent","Mean with income",5900
2011,"Business programs, spouse and dependent","Mean with income",6800
2012,"Business programs, spouse and dependent","Mean with income",7300
2013,"Business programs, spouse and dependent","Mean with income",9000
2014,"Business programs, spouse and dependent","Mean with income",9700
2015,"Business programs, spouse and dependent","Mean with income",10900
2016,"Business programs, spouse and dependent","Mean with income",9900
2001,"Business programs, spouse and dependent","Median with income",2800
2002,"Business programs, spouse and dependent","Median with income",2100
2003,"Business programs, spouse and dependent","Median with income",2500
2004,"Business programs, spouse and dependent","Median with income",2200
2005,"Business programs, spouse and dependent","Median with income",2500
2006,"Business programs, spouse and dependent","Median with income",2700
2007,"Business programs, spouse and dependent","Median with income",3200
2008,"Business programs, spouse and dependent","Median with income",2500
2009,"Business programs, spouse and dependent","Median with income",2600
2010,"Business programs, spouse and dependent","Median with income",2800
2011,"Business programs, spouse and dependent","Median with income",2800
2012,"Business programs, spouse and dependent","Median with income",3500
2013,"Business programs, spouse and dependent","Median with income",3500
2014,"Business programs, spouse and dependent","Median with income",4700
2015,"Business programs, spouse and dependent","Median with income",4200
2016,"Business programs, spouse and dependent","Median with income",4700
2001,"Caregiver, spouse and dependent","Total count",395
2002,"Caregiver, spouse and dependent","Total count",240
2003,"Caregiver, spouse and dependent","Total count",525
2004,"Caregiver, spouse and dependent","Total count",925
2005,"Caregiver, spouse and dependent","Total count",740
2006,"Caregiver, spouse and dependent","Total count",1695
2007,"Caregiver, spouse and dependent","Total count",1385
2008,"Caregiver, spouse and dependent","Total count",2255
2009,"Caregiver, spouse and dependent","Total count",3180
2010,"Caregiver, spouse and dependent","Total count",3060
2011,"Caregiver, spouse and dependent","Total count",3205
2012,"Caregiver, spouse and dependent","Total count",2850
2013,"Caregiver, spouse and dependent","Total count",2160
2014,"Caregiver, spouse and dependent","Total count",3290
2015,"Caregiver, spouse and dependent","Total count",8590
2016,"Caregiver, spouse and dependent","Total count",6630
2001,"Caregiver, spouse and dependent","Total with income",355
2002,"Caregiver, spouse and dependent","Total with income",215
2003,"Caregiver, spouse and dependent","Total with income",380
2004,"Caregiver, spouse and dependent","Total with income",825
2005,"Caregiver, spouse and dependent","Total with income",605
